,hyp,ref,src,tgt,model,task,labels,label,p(Hallucination),text
11,(geometry) Of or pertaining to an oblique angle.,tgt,an <define> obliquangular </define> triangle,"(archaic, geometry) Formed of oblique angles.",,DM,"['Hallucination', 'Hallucination', 'Not Hallucination', 'Hallucination', 'Not Hallucination']",Hallucination,0.6000000000000001,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: an <define> obliquangular </define> triangle
Hypothesis: (geometry) Of or pertaining to an oblique angle.
Target: (archaic, geometry) Formed of oblique angles.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
12,(video games) The state or condition of being bisexual in a video game.,tgt,"It can be argued that explicit representations of bisexuality , pansexuality , and other multiple - gender - attracted people are erased from games that use ' <define> playersexuality </define> ' as a mechanic .","(video games) The state of an NPC being attracted to the player character, especially without regard to gender, race, etc.",,DM,"['Hallucination', 'Hallucination', 'Hallucination', 'Hallucination', 'Hallucination']",Hallucination,1.0,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: It can be argued that explicit representations of bisexuality , pansexuality , and other multiple - gender - attracted people are erased from games that use ' <define> playersexuality </define> ' as a mechanic .
Hypothesis: (video games) The state or condition of being bisexual in a video game.
Target: (video games) The state of an NPC being attracted to the player character, especially without regard to gender, race, etc.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
13,Alternative form of pseudodimension,tgt,"Our algorithms rely on random sampling and their analysis leverages on Rademacher averages and <define> pseudodimension </define> , fundamental concepts from statistical learning theory .",(maths),,DM,"['Hallucination', 'Hallucination', 'Hallucination', 'Hallucination', 'Hallucination']",Hallucination,1.0,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Our algorithms rely on random sampling and their analysis leverages on Rademacher averages and <define> pseudodimension </define> , fundamental concepts from statistical learning theory .
Hypothesis: Alternative form of pseudodimension
Target: (maths)
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
14,(colloquial) Used as an intensifier.,tgt,Those <define> daggum </define> thieves stole my car !,"(US, euphemism, dialectal) goddamn",,DM,"['Not Hallucination', 'Not Hallucination', 'Hallucination', 'Hallucination', 'Hallucination']",Hallucination,0.6000000000000001,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Those <define> daggum </define> thieves stole my car !
Hypothesis: (colloquial) Used as an intensifier.
Target: (US, euphemism, dialectal) goddamn
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
15,Resembling or characteristic of a hulk.,tgt,"[ � ]   and his physique was rather <define> hulksome </define> , with muscles built upon muscles giving him a chiseled statuesque appearance .",Characteristic of a hulk; large and bulky; hulking.,,DM,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Hallucination']",Not Hallucination,0.2,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: [ � ]   and his physique was rather <define> hulksome </define> , with muscles built upon muscles giving him a chiseled statuesque appearance .
Hypothesis: Resembling or characteristic of a hulk.
Target: Characteristic of a hulk; large and bulky; hulking.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
16,"(South Asia, historical) A long, thin stick with a pointed end, used for striking.",tgt,He who first acts as striker asks the other how many blows of the <define> rattan </define> he will bear on his forearm without crying out .,(by extension) A cane made from this material.,,DM,"['Hallucination', 'Hallucination', 'Not Hallucination', 'Not Hallucination', 'Hallucination']",Hallucination,0.6000000000000001,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: He who first acts as striker asks the other how many blows of the <define> rattan </define> he will bear on his forearm without crying out .
Hypothesis: (South Asia, historical) A long, thin stick with a pointed end, used for striking.
Target: (by extension) A cane made from this material.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
17,(transitive) To take on (a task or responsibility).,tgt,<define> Taking on </define> a first employee should be done with care and consideration .,"To acquire, bring in, or introduce.",,DM,"['Hallucination', 'Hallucination', 'Hallucination', 'Hallucination', 'Hallucination']",Hallucination,1.0,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: <define> Taking on </define> a first employee should be done with care and consideration .
Hypothesis: (transitive) To take on (a task or responsibility).
Target: To acquire, bring in, or introduce.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
18,Full of longing; yearning.,tgt,"Ah ! they were grand days , those deep , full days , when our coming life , like an unseen organ , pealed strange , <define> yearnful </define> music in our ears , and our young blood cried out like a war - horse for the battle .",Filled with yearning; desirous; mournful; distressing.,,DM,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Ah ! they were grand days , those deep , full days , when our coming life , like an unseen organ , pealed strange , <define> yearnful </define> music in our ears , and our young blood cried out like a war - horse for the battle .
Hypothesis: Full of longing; yearning.
Target: Filled with yearning; desirous; mournful; distressing.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
19,(uncountable) The quality of being rigorous.,tgt,"Economics is a messy discipline : too fluid to be a science , too <define> rigorous </define> to be an art . Perhaps it is fitting that economists � most - used metric , gross domestic product ( GDP ) , is a tangle too . GDP measures the total value of output in an economic territory . Its apparent simplicity explains why it is scrutinised down to tenths of a percentage point every month .","Showing, causing, or favoring rigour/rigor; scrupulously accurate or strict; thorough.",,DM,"['Hallucination', 'Not Hallucination', 'Not Hallucination', 'Hallucination', 'Hallucination']",Hallucination,0.6000000000000001,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Economics is a messy discipline : too fluid to be a science , too <define> rigorous </define> to be an art . Perhaps it is fitting that economists � most - used metric , gross domestic product ( GDP ) , is a tangle too . GDP measures the total value of output in an economic territory . Its apparent simplicity explains why it is scrutinised down to tenths of a percentage point every month .
Hypothesis: (uncountable) The quality of being rigorous.
Target: Showing, causing, or favoring rigour/rigor; scrupulously accurate or strict; thorough.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
20,(slang) The human body.,tgt,Cheers <define> marrow </define> !,"(Geordie, informal) A friend, pal, buddy, mate.",,DM,"['Hallucination', 'Hallucination', 'Hallucination', 'Hallucination', 'Hallucination']",Hallucination,1.0,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Cheers <define> marrow </define> !
Hypothesis: (slang) The human body.
Target: (Geordie, informal) A friend, pal, buddy, mate.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
21,(psychology) A fear of demons.,tgt,"The first of these patients especially dreads the flames of hell . This is the demonomania of Sauvages . I call it <define> demonophobia </define> , monodemonophobin .",An irrational fear of demons.,,DM,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: The first of these patients especially dreads the flames of hell . This is the demonomania of Sauvages . I call it <define> demonophobia </define> , monodemonophobin .
Hypothesis: (psychology) A fear of demons.
Target: An irrational fear of demons.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
22,"Of, pertaining to, or characteristic of quotidian life.",tgt,"Grids are used for such <define> quotidian </define> items as stationery , business cards , mailing labels , hang tags , instruction manuals , etc .","Having the characteristics of something which can be seen, experienced, etc, every day or very commonly; commonplace, ordinary, mundane. [from 15th c.]",,DM,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Hallucination']",Not Hallucination,0.2,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Grids are used for such <define> quotidian </define> items as stationery , business cards , mailing labels , hang tags , instruction manuals , etc .
Hypothesis: Of, pertaining to, or characteristic of quotidian life.
Target: Having the characteristics of something which can be seen, experienced, etc, every day or very commonly; commonplace, ordinary, mundane. [from 15th c.]
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
23,Not dictating.,tgt,"I never can cease admiring that beautiful request of the Prayer - book , � A happy issue out of all their affliction . � It is so humble , so <define> undictating </define> to God , so moderate , yet so ample . God give that to us both . Amen . In His way and time , and in this world and in the next .",Not dictating.,,DM,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: I never can cease admiring that beautiful request of the Prayer - book , � A happy issue out of all their affliction . � It is so humble , so <define> undictating </define> to God , so moderate , yet so ample . God give that to us both . Amen . In His way and time , and in this world and in the next .
Hypothesis: Not dictating.
Target: Not dictating.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
24,Capable of being parachuted.,tgt,<define> parachutable </define> supplies,Capable of being deployed by parachute.,,DM,"['Not Hallucination', 'Not Hallucination', 'Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.2,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: <define> parachutable </define> supplies
Hypothesis: Capable of being parachuted.
Target: Capable of being deployed by parachute.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
25,In an occasional manner.,tgt,Some perhaps worship only on alternate Sundays ; others still more <define> occasionally </define> .,From time to time; sometimes; at relatively infrequent intervals. [from 15th c.],,DM,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Some perhaps worship only on alternate Sundays ; others still more <define> occasionally </define> .
Hypothesis: In an occasional manner.
Target: From time to time; sometimes; at relatively infrequent intervals. [from 15th c.]
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
26,"(vulgar, slang) Very scared or nervous.",tgt,""" Christ "" � he yawned � "" Christ , what the hell is everybody getting so <define> pisspants </define> scared and nervous for ? Vince Eames is what ? A crook ? So ? ...","(slang, vulgar, derogatory, rare) An objectionable or cowardly person.",,DM,"['Hallucination', 'Not Hallucination', 'Not Hallucination', 'Hallucination', 'Not Hallucination']",Not Hallucination,0.4,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: "" Christ "" � he yawned � "" Christ , what the hell is everybody getting so <define> pisspants </define> scared and nervous for ? Vince Eames is what ? A crook ? So ? ...
Hypothesis: (vulgar, slang) Very scared or nervous.
Target: (slang, vulgar, derogatory, rare) An objectionable or cowardly person.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
27,(transitive) To plant again.,tgt,"Many years ago , we decided to <define> relawn </define> and replant the garden .","(transitive, rare) To provide with a new lawn.",,DM,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Hallucination', 'Not Hallucination']",Not Hallucination,0.2,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Many years ago , we decided to <define> relawn </define> and replant the garden .
Hypothesis: (transitive) To plant again.
Target: (transitive, rare) To provide with a new lawn.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
28,"(slang, uncountable) The act of smoking marijuana.",tgt,"The artist took a thoughtful <define> toke </define> off the joint , then passed it along .",(slang) A puff of marijuana.,,DM,"['Not Hallucination', 'Not Hallucination', 'Hallucination', 'Hallucination', 'Not Hallucination']",Not Hallucination,0.4,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: The artist took a thoughtful <define> toke </define> off the joint , then passed it along .
Hypothesis: (slang, uncountable) The act of smoking marijuana.
Target: (slang) A puff of marijuana.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
29,(informal) A cosplay.,tgt,"Popular <define> cosplays </define> include , for example , characters from the Final Fantasy range of games [ � ]",(countable) A skit or instance of this art or practice.,,DM,"['Hallucination', 'Not Hallucination', 'Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.4,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Popular <define> cosplays </define> include , for example , characters from the Final Fantasy range of games [ � ]
Hypothesis: (informal) A cosplay.
Target: (countable) A skit or instance of this art or practice.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
30,The state or quality of being precious.,tgt,"� [ � ]   the Pope   [ � ]   had to send him a valuable Gift , which you may see some day . � N�ssler did , one day , see this <define> preciosity </define> : a Crucifix , ebony bordered with gold , and the Body all of that metal , on the smallest of altars , in Walrave �s bedroom .","(obsolete, countable) Something of high value or worth.",,DM,"['Not Hallucination', 'Hallucination', 'Not Hallucination', 'Not Hallucination', 'Hallucination']",Not Hallucination,0.4,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: � [ � ]   the Pope   [ � ]   had to send him a valuable Gift , which you may see some day . � N�ssler did , one day , see this <define> preciosity </define> : a Crucifix , ebony bordered with gold , and the Body all of that metal , on the smallest of altars , in Walrave �s bedroom .
Hypothesis: The state or quality of being precious.
Target: (obsolete, countable) Something of high value or worth.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
31,(derogatory) The belief that men are superior to women and should be treated as such.,tgt,"A recent president of the International Association of Police Chiefs , an organization regarded almost universally as a bastion of ' <define> old - boyism </define> , ' was the female chief of police of Gaithersburg , Maryland .",Alternative form of old boyism,,DM,"['Hallucination', 'Not Hallucination', 'Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.4,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: A recent president of the International Association of Police Chiefs , an organization regarded almost universally as a bastion of ' <define> old - boyism </define> , ' was the female chief of police of Gaithersburg , Maryland .
Hypothesis: (derogatory) The belief that men are superior to women and should be treated as such.
Target: Alternative form of old boyism
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
32,(intransitive) To travel by trampoline.,tgt,see Wikipedia : <define> tramp </define> steamer,Any ship which does not have a fixed schedule or published ports of call.,,DM,"['Hallucination', 'Hallucination', 'Not Hallucination', 'Hallucination', 'Hallucination']",Hallucination,0.8,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: see Wikipedia : <define> tramp </define> steamer
Hypothesis: (intransitive) To travel by trampoline.
Target: Any ship which does not have a fixed schedule or published ports of call.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
